,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2021,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
149,9,BORIS KOPITOVIC,1995-04-27,27,MNE,Forward,26,Tampines Rovers FC,21,19,1751:06:00,16,96,3,3,51,21,29,0,0,0.53,0.17,2,1,0
150,10,Zehrudin Mehmedovic,1998-03-15,24,SRB,Midfielder,23,Tampines Rovers FC,19,17,1568:43:00,6,39,8,8,20,16,17,6,0,0.51,0.15,2,1,0
151,11,ARMIN BOSNJAK,1994-04-20,28,MNE,Midfielder,27,Tampines Rovers FC,20,16,1557:14:00,1,39,11,11,16,20,27,1,0,0.41,0.03,4,0,0
152,12,Muhammad Amirul Haikal Bin Mohamed Hassim,1999-10-11,22,SGP,Midfielder,22,Tampines Rovers FC,15,14,1020:59:00,0,5,1,1,1,13,18,2,0,0.2,0.0,1,0,1
153,13,Mohamad Taufik Bin Suparno,1995-10-31,26,SGP,Forward,26,Tampines Rovers FC,20,3,632:48:00,6,22,0,0,9,23,12,3,0,0.41,0.27,17,1,0
154,14,Wei Ming Marc Ryan Tan,2002-01-18,20,SGP,Midfielder,19,Tampines Rovers FC,14,10,603:07:00,3,10,2,2,3,8,5,0,0,0.3,0.3,4,0,0
155,16,Daniel Mark Bennett,1978-01-07,44,SGP,Defender,43,Tampines Rovers FC,15,12,1085:12:00,1,7,0,0,3,5,5,1,0,0.43,0.14,3,1,0
156,17,Muhammad Irwan Shah Bin Arismail,1988-11-02,33,SGP,Defender,33,Tampines Rovers FC,20,14,1394:56:00,1,6,2,2,1,18,13,4,1,0.17,0.17,6,1,0
157,18,Iman Hakim Bin Ibrahim,2002-03-09,20,SGP,Midfielder,19,Tampines Rovers FC,12,12,785:26:00,0,2,0,0,1,11,12,2,0,0.5,0.0,0,0,1
158,19,Mohamed Zulfairuuz Bin Mohamed Rudy,1994-05-22,28,SGP,Goal Keeper,27,Tampines Rovers FC,4,3,262:41:00,0,0,0,0,0,1,1,0,0,0.0,0.0,1,1,0
159,21,Mohamad Hamizan Bin Mohamad Hisham,2001-01-10,21,SGP,Defender,20,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
160,23,Mohammad Irfan Bin Mohammad Najeeb,1999-07-31,22,SGP,Defender,22,Tampines Rovers FC,11,10,821:48:00,1,3,0,0,2,15,8,1,0,0.67,0.33,1,0,1
161,24,Muhammad Syazwan Bin Buhari,1992-09-22,29,SGP,Goal Keeper,29,Tampines Rovers FC,18,18,1614:09:00,0,0,0,0,0,0,4,0,0,0.0,0.0,0,1,0
162,28,Fazrul Nawaz S/O Shahul Hameed,1985-04-17,37,SGP,Forward,36,Tampines Rovers FC,3,0,35:26:00,0,0,0,0,0,0,1,0,0,0.0,0.0,3,1,0
163,43,Amir Mirza Bin Rudy Iskandar,2003-04-10,19,SGP,Midfielder,18,Tampines Rovers FC,2,0,21:09,0,0,0,0,0,0,1,0,0,0.0,0.0,2,0,0
164,44,Danial Iliya Bin Khairuddin,2003-02-06,19,SGP,Goal Keeper,18,Tampines Rovers FC,1,0,13:09,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0
165,45,Andrew Yong Rei Aw,2003-03-29,19,SGP,Defender,18,Tampines Rovers FC,6,4,322:07:00,0,1,0,0,0,7,3,2,0,0.0,0.0,2,1,0
166,47,Muhammad Danish Siregar Bin Sahat Siregar,2003-03-01,19,SGP,Midfielder,18,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
167,55,Ethan Henry Pinto,2004-10-14,17,SGP,Midfielder,17,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
168,57,Adam Reefdy Bin Muhammad Hasyim,2004-05-08,18,SGP,Defender,17,Tampines Rovers FC,1,0,10:26,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
169,2,Mohammed Faritz Bin Abdul Hameed,1990-01-16,32,SGP,Defender,31,Tanjong Pagar United FC,19,19,1710:00:00,0,4,0,0,2,14,21,4,0,0.5,0.0,0,1,0
170,3,Muhammad Shahrin Bin Saberin,1995-02-14,27,SGP,Defender,26,Tanjong Pagar United FC,19,17,1562:16:00,0,2,3,3,0,18,6,4,0,0.0,0.0,2,0,1
171,4,Delwinder Singh S/o Ranjit Singh,1992-08-05,29,SGP,Defender,29,Tanjong Pagar United FC,12,11,1013:30:00,0,5,0,0,1,6,6,1,0,0.2,0.0,1,1,0
172,5,Yu Min Emmeric Ong,1991-01-25,31,SGP,Defender,30,Tanjong Pagar United FC,6,4,372:01:00,0,1,0,0,0,6,5,1,0,0.0,0.0,2,0,1
173,6,Muhammad Ridhuan Bin Muhamad,1984-05-06,38,SGP,Midfielder,37,Tanjong Pagar United FC,6,2,236:54:00,0,6,1,1,2,4,3,0,0,0.33,0.0,4,0,0
174,7,Muhamad Rusyaidi Bin Salime,1998-04-25,24,SGP,Midfielder,23,Tanjong Pagar United FC,18,18,1505:46:00,0,8,1,1,0,38,27,8,0,0.0,0.0,0,0,0
175,8,Prakash Raj s/o Nanthakumar,1998-06-11,23,SGP,Defender,23,Tanjong Pagar United FC,2,2,102:57:00,0,0,0,0,0,3,1,0,0,0.0,0.0,0,0,0
176,9,Reo Nishiguchi,1997-08-21,24,JPN,Midfielder,24,Tanjong Pagar United FC,21,21,1890:00:00,9,61,4,4,29,14,29,1,0,0.48,0.15,0,0,1
177,10,Luiz Carlos Caetano De Azevedo Junior,1990-04-23,32,BRA,Forward,31,Tanjong Pagar United FC,18,14,1413:31:00,11,52,2,2,28,22,41,2,0,0.54,0.21,4,1,0
178,11,Muhammad Shahib Bin Masnawi,2000-08-04,21,SGP,Midfielder,21,Tanjong Pagar United FC,1,1,59:34:00,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,1
179,12,Muhamad Anaqi Bin Ismit,2001-08-24,20,SGP,Forward,20,Tanjong Pagar United FC,12,11,843:22:00,4,16,0,0,7,26,18,3,0,0.44,0.25,1,0,0
180,14,Jian Tang Julian Tan,1999-10-11,22,SGP,Midfielder,22,Tanjong Pagar United FC,1,0,2:28,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0
181,15,Shodai Nishikawa,1993-09-21,28,JPN,Midfielder,28,Tanjong Pagar United FC,21,21,1840:04:00,3,21,3,3,9,30,30,0,0,0.43,0.14,0,1,0
182,16,Muhammad Raihan Abdul Rahman,1991-02-07,31,SGP,Midfielder,30,Tanjong Pagar United FC,8,3,324:23:00,0,1,0,0,0,11,5,3,0,0.0,0.0,5,1,0
183,17,Ammirul Emmran Bin Mazlan,1995-04-18,27,SGP,Midfielder,26,Tanjong Pagar United FC,10,2,360:59:00,0,0,0,0,0,12,4,4,0,0.0,0.0,8,1,0
184,18,Mohammad Fashah Iskandar Bin S Rosedin,1995-05-06,27,SGP,Goal Keeper,26,Tanjong Pagar United FC,7,7,630:00:00,0,0,0,0,0,2,2,3,0,0.0,0.0,0,1,0
185,19,Mohammad Khairul Amri Bin Mohammad Kamal,1985-03-14,37,SGP,Forward,36,Tanjong Pagar United FC,18,4,756:07:00,5,22,1,1,11,16,16,2,0,0.5,0.23,14,0,0
186,20,Blake Ashley Ricciuto,1992-09-02,29,AUS,Midfielder,29,Tanjong Pagar United FC,20,20,1800:00:00,2,26,5,5,10,42,41,4,0,0.38,0.08,0,0,0
187,21,Suhairi Bin Sabri,1996-04-23,26,SGP,Midfielder,25,Tanjong Pagar United FC,7,0,206:18:00,0,6,1,1,0,7,2,3,0,0.0,0.0,7,1,0
188,22,Hadiputradila Bin Saswadimata,2000-02-05,22,SGP,Forward,21,Tanjong Pagar United FC,4,3,143:55:00,0,0,0,0,0,0,1,0,0,0.0,0.0,1,1,0
189,23,Hariz Bin Mohd Farid,1997-10-19,24,SGP,Goal Keeper,24,Tanjong Pagar United FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
190,25,Daniel Jordan Rowsing Martens,1999-02-25,23,SGP,Midfielder,22,Tanjong Pagar United FC,7,7,387:51:00,0,7,0,0,4,8,9,2,0,0.57,0.0,0,0,1
191,26,Muhammad Shakir Bin Hamzah,1992-10-20,29,SGP,Defender,29,Tanjong Pagar United FC,9,9,810:00:00,1,8,1,1,3,14,17,4,0,0.38,0.12,0,0,0
192,28,Muhammad Zharfan Bin Rohaizad,1997-02-21,25,SGP,Goal Keeper,24,Tanjong Pagar United FC,13,13,1170:00:00,0,0,0,0,0,1,7,0,0,0.0,0.0,0,0,0
193,51,Muhammad Fathullah Bin Rahmat,2002-09-05,19,SGP,Midfielder,19,Tanjong Pagar United FC,11,11,938:53:00,1,8,2,2,3,17,6,2,0,0.38,0.12,0,0,1
194,54,Mohamad Naufal Ilham Bin Mohamad Ismail,2002-08-17,19,SGP,Midfielder,19,Tanjong Pagar United FC,11,10,604:16:00,0,3,2,2,1,7,8,1,0,0.33,0.0,1,0,0
195,56,Muhammad Elfy Danish Bin Elfien,2002-10-15,19,SGP,,19,Tanjong Pagar United FC,2,0,14:44,0,0,0,0,0,0,1,0,0,0.0,0.0,2,1,0
196,1,Nurshafiq Bin Zaini,1999-03-26,23,SGP,Goal Keeper,22,Young Lions,6,6,540:00:00,0,0,0,0,0,0,2,0,0,0.0,0.0,0,1,0
197,2,Muhammad Nazhiim Bin Harman,1999-03-02,23,SGP,Defender,22,Young Lions,5,4,302:35:00,0,0,0,0,0,7,3,1,0,0.0,0.0,1,0,0
198,3,Danial Scott Crichton,2003-04-11,19,SGP,Defender,18,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
199,4,Danish Irfan Bin Azman,1999-03-10,23,SGP,Defender,22,Young Lions,9,7,687:28:00,0,0,0,0,0,6,3,1,0,0.0,0.0,2,1,0
200,5,Muhammad Syabil Bin Hisham,2002-09-20,19,SGP,Defender,19,Young Lions,2,1,72:20:00,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
201,6,Jacob William Mahler,2000-04-10,22,SGP,Defender,21,Young Lions,12,11,1035:00:00,3,11,1,1,7,17,26,3,0,0.64,0.27,1,1,0
202,7,Muhammad Zulqarnaen Bin Suzliman,1998-03-29,24,SGP,Defender,23,Young Lions,13,11,1041:44:00,0,2,0,0,1,15,15,5,0,0.5,0.0,2,0,0
203,8,Rezza Rezky Ramadhani Bin Yacobjan,2000-11-08,21,SGP,Midfielder,21,Young Lions,9,6,549:42:00,0,5,0,0,0,18,9,2,0,0.0,0.0,3,1,0
204,9,Nur Muhammad Shah Bin Shahiran,1999-11-14,22,SGP,Midfielder,22,Young Lions,3,3,264:14:00,1,2,0,0,2,4,4,1,0,1.0,0.5,0,0,1
205,10,Ji Xiong Daniel Goh,1999-08-13,22,SGP,Midfielder,22,Young Lions,9,6,444:35:00,1,10,1,1,2,6,6,1,0,0.2,0.1,3,0,1
206,11,Abdul Rasaq Ishiekwene Akeem,2001-06-16,20,SGP,Forward,20,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
207,12,Joel Joon Herng Chew,2000-02-09,22,SGP,Midfielder,21,Young Lions,19,18,1553:38:00,1,20,2,2,9,9,17,1,0,0.45,0.05,1,0,1
208,13,Muhammad Syahrul Bin Sazali,1998-06-03,23,SGP,Defender,23,Young Lions,15,14,1224:53:00,0,4,0,0,2,13,10,2,1,0.5,0.0,1,0,1
209,14,Muhammad Hami Syahin Bin Said,1998-12-16,23,SGP,Midfielder,23,Young Lions,13,12,1051:58:00,4,12,1,1,5,25,26,7,1,0.42,0.33,1,1,0
210,15,Amir Syafiz Bin Abdul Rashid,2004-06-21,17,SGP,Midfielder,17,Young Lions,13,6,585:05:00,0,6,1,1,2,21,9,1,0,0.33,0.0,7,0,0
211,16,Ryhan Euan Griffin Stewart,2000-02-15,22,SGP,Midfielder,21,Young Lions,20,20,1800:00:00,0,11,3,3,2,27,29,4,0,0.18,0.0,0,1,0
212,17,Ilhan Fandi Ahmad,2002-11-08,19,SGP,Midfielder,19,Young Lions,18,18,1551:49:00,7,49,1,1,27,18,45,0,0,0.55,0.14,0,1,0
213,18,Ridhwan Fikri Bin Aban,1999-04-29,23,SGP,Goal Keeper,22,Young Lions,12,12,1080:00:00,0,0,0,0,0,1,3,1,0,0.0,0.0,0,1,0
214,19,Khairin Nadim Bin Rahim,2004-05-08,18,SGP,Forward,17,Young Lions,19,14,1301:22:00,3,21,2,2,7,13,16,2,0,0.33,0.14,5,1,0
215,20,Nor Hakim Bin Redzuan,2000-10-21,21,SGP,Midfielder,21,Young Lions,4,2,108:03:00,0,1,0,0,0,1,3,0,0,0.0,0.0,2,1,0
216,21,Mohamed Sahffee Bin Jubpre,2001-03-31,21,SGP,Defender,20,Young Lions,4,1,82:37:00,0,0,0,0,0,2,1,0,0,0.0,0.0,3,1,0
217,22,Danish Qayyum Putra Shahrin Azhar,2002-02-02,20,SGP,Midfielder,19,Young Lions,10,3,277:14:00,0,1,0,0,1,6,4,0,0,1.0,0.0,7,0,1
218,23,Harhys Rizal Gareth Stewart Bin Muhammad Ian Stewart,2001-03-20,21,SGP,Midfielder,20,Young Lions,17,17,1530:00:00,2,13,1,1,4,26,15,5,0,0.31,0.15,0,1,0
219,24,Muhammad Zamani Bin Md Zamri,2001-05-31,21,SGP,Midfielder,20,Young Lions,15,13,1059:02:00,1,5,2,2,4,30,26,2,0,0.8,0.2,2,1,0
220,25,Dylan Pereira Singh S/o Rameshpal Singh,2000-07-31,21,SGP,Goal Keeper,21,Young Lions,4,3,270:00:00,0,0,0,0,0,0,1,0,0,0.0,0.0,1,0,0
221,26,Alif Iskandar Bin Abdul Razak,1999-01-16,23,SGP,Defender,22,Young Lions,5,1,152:21:00,0,0,0,0,0,1,2,1,0,0.0,0.0,4,0,0
222,27,Mohammed Arshad Bin Shamim,1999-12-09,22,SGP,Midfielder,22,Young Lions,7,1,176:11:00,0,0,0,0,0,2,4,1,0,0.0,0.0,6,0,1
223,28,Syed Muhamad Akmal Bin Syed Abdul Aziz,2000-04-28,22,SGP,Defender,21,Young Lions,11,11,990:00:00,1,2,0,0,1,5,4,1,0,0.5,0.5,0,1,0
224,29,Raoul Bin Suhaimi,2005-09-18,16,SGP,Defender,16,Young Lions,6,5,401:18:00,0,1,0,0,0,9,4,2,1,0.0,0.0,1,0,0
225,32,Putra Anugerah Bin Sahrin,2000-04-02,22,SGP,Goal Keeper,21,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
226,39,"Jia Jin, Glenn Kweh",2000-03-26,22,SGP,Forward,21,Young Lions,9,3,313:49:00,2,8,0,0,4,4,3,0,0,0.5,0.25,6,0,0
227,40,Yi Jie Martyn Mun,2000-01-07,22,SGP,Goal Keeper,21,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1
228,42,Jordan Efa Okwudili Emaviwe,2001-04-09,21,SGP,Defender,20,Young Lions,2,1,110:45:00,0,0,1,1,0,3,0,1,0,0.0,0.0,1,0,1
