,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2020,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in
155,51,Muhammad Haziq Mikhail Bin Azhar,2000-05-07,22,SGP,Midfielder,20,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
156,52,Mohamed Shagir Firaf Bin Mohamed Munir,2000-04-10,22,SGP,Forward,20,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
157,53,Andrew Yong Rei Aw,2003-03-29,19,SGP,Defender,17,Tampines Rovers FC,4,4,180:00:00,0,0,0,0,0,6,5,2,0,0.0,0.0,0
158,54,Danial Iliya Bin Khairuddin,2003-02-06,19,SGP,Goal Keeper,17,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
159,56,Muhammad Danish Siregar Bin Sahat Siregar,2003-03-01,19,SGP,Forward,17,Tampines Rovers FC,4,2,93:49:00,0,0,0,0,0,2,0,0,0,0.0,0.0,2
160,1,Wei Zhi Joey Sim,1987-03-02,35,SGP,Goal Keeper,33,Tanjong Pagar United FC,1,0,45:00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,1
161,2,Mohammed Faritz Bin Abdul Hameed,1990-01-16,32,SGP,Defender,30,Tanjong Pagar United FC,11,9,867:09:00,0,8,0,0,2,11,8,3,0,0.25,0.0,2
162,3,Muhammad Syukri Bin Mohd Bashir,1998-04-11,24,SGP,Forward,22,Tanjong Pagar United FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
163,4,Delwinder Singh S/o Ranjit Singh,1992-08-05,29,SGP,Defender,28,Tanjong Pagar United FC,9,9,696:08:00,0,1,0,0,0,5,9,2,1,0.0,0.0,0
164,5,YANN MOTTA PINTO,1999-11-24,22,BRA,Defender,21,Tanjong Pagar United FC,14,13,1145:34:00,2,9,0,0,4,23,15,3,0,0.44,0.22,1
165,6,Muhammad Syabil Bin Hisham,2002-09-20,19,SGP,Midfielder,18,Tanjong Pagar United FC,12,10,843:58:00,0,2,0,0,0,8,7,4,0,0.0,0.0,2
166,7,Takahiro Tanaka,1993-11-22,28,JPN,Defender,27,Tanjong Pagar United FC,12,11,1018:40:00,0,7,4,4,1,10,6,2,0,0.14,0.0,1
167,8,Nashrul Amin Bin Mohamad Sanusi,1997-06-17,24,SGP,Midfielder,23,Tanjong Pagar United FC,11,11,560:37:00,0,1,0,0,0,16,13,2,0,0.0,0.0,0
168,9,Muhammad Syahadat Bin Masnawi,2001-11-07,20,SGP,Forward,19,Tanjong Pagar United FC,3,3,182:07:00,0,2,0,0,0,6,2,2,0,0.0,0.0,0
169,10,Luiz Carlos Caetano De Azevedo Junior,1990-04-23,32,BRA,Forward,30,Tanjong Pagar United FC,14,8,892:43:00,7,26,3,3,17,12,25,1,0,0.65,0.27,6
170,11,Yu Heng Ignatius Ang,1992-11-11,29,SGP,Midfielder,28,Tanjong Pagar United FC,5,4,382:22:00,0,2,0,0,0,8,12,1,0,0.0,0.0,1
171,12,Muhammad Syariful Haq Sapari,2001-07-22,20,SGP,Defender,19,Tanjong Pagar United FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
172,13,Muhammad Farihin Farkhan Bin Nashir,1998-04-26,24,SGP,Midfielder,22,Tanjong Pagar United FC,8,3,203:45:00,1,2,0,0,1,6,8,0,0,0.5,0.5,5
173,14,Hadiputradila Bin Saswadimata,2000-02-05,22,SGP,Forward,20,Tanjong Pagar United FC,7,4,300:47:00,0,0,0,0,0,3,11,0,0,0.0,0.0,3
174,15,Shodai Nishikawa,1993-09-21,28,JPN,Midfielder,27,Tanjong Pagar United FC,13,13,1170:00:00,2,20,3,3,9,22,15,2,0,0.45,0.1,0
175,16,Muhammad Raihan Abdul Rahman,1991-02-07,31,SGP,Midfielder,29,Tanjong Pagar United FC,11,10,902:50:00,0,3,0,0,1,18,10,3,0,0.33,0.0,1
176,17,S Suria Prakash,1993-12-23,28,SGP,Midfielder,27,Tanjong Pagar United FC,14,3,708:13:00,1,10,0,0,5,11,21,1,0,0.5,0.1,11
177,18,Mohammad Fashah Iskandar Bin S Rosedin,1995-05-06,27,SGP,Goal Keeper,25,Tanjong Pagar United FC,4,4,360:00:00,0,0,0,0,0,1,0,1,0,0.0,0.0,0
178,19,Ribiyanda Bin Saswadimata,1997-02-05,25,SGP,Midfielder,23,Tanjong Pagar United FC,2,1,68:10:00,0,0,0,0,0,2,0,0,0,0.0,0.0,1
179,21,Suhairi Bin Sabri,1996-04-23,26,SGP,Midfielder,24,Tanjong Pagar United FC,14,13,1145:25:00,1,13,0,0,3,23,12,0,0,0.23,0.08,1
180,23,Kenji Syed Rusydi Al-Asyraf Bin Syed Ali,1998-07-12,23,SGP,Goal Keeper,22,Tanjong Pagar United FC,10,10,855:00:00,0,0,0,0,0,0,4,1,0,0.0,0.0,0
181,24,Muhammad Zulkiffli Bin Hassim,1986-03-26,36,SGP,Forward,34,Tanjong Pagar United FC,8,3,449:43:00,0,4,1,1,1,9,4,0,0,0.25,0.0,5
182,28,Ammirul Emmran Bin Mazlan,1995-04-18,27,SGP,,25,Tanjong Pagar United FC,11,9,859:28:00,0,0,0,0,0,9,11,1,0,0.0,0.0,2
183,55,Jian Tang Julian Tan,1999-10-11,22,SGP,Defender,21,Tanjong Pagar United FC,1,1,61:35:00,0,0,0,0,0,0,1,0,0,0.0,0.0,0
184,57,Muhammad Elfy Danish Bin Elfien,2002-10-15,19,SGP,Midfielder,18,Tanjong Pagar United FC,2,2,91:43:00,0,0,0,0,0,2,0,0,0,0.0,0.0,0
185,60,Indera Iskandar Bin Imberan,2003-04-02,19,SGP,Forward,17,Tanjong Pagar United FC,2,0,2:42,0,0,0,0,0,0,0,0,0,0.0,0.0,2
186,1,Nurshafiq Bin Zaini,1999-03-26,23,SGP,Goal Keeper,21,Young Lions,8,8,720:00:00,0,0,0,0,0,1,1,1,0,0.0,0.0,0
187,3,Mohammad Irfan Bin Mohammad Najeeb,1999-07-31,22,SGP,Defender,21,Young Lions,6,4,374:04:00,0,0,0,0,0,7,5,2,0,0.0,0.0,2
188,4,Danish Irfan Bin Azman,1999-03-10,23,SGP,Defender,21,Young Lions,9,6,532:26:00,0,0,0,0,0,12,3,1,0,0.0,0.0,3
189,5,Muhammad Amer Hakeem Bin Mohamad Nazri,1998-11-08,23,SGP,Midfielder,22,Young Lions,4,2,152:22:00,0,3,0,0,0,2,0,0,0,0.0,0.0,2
190,6,Jacob William Mahler,2000-04-10,22,SGP,Midfielder,20,Young Lions,14,14,1212:37:00,3,10,0,0,5,22,32,3,0,0.5,0.3,0
191,7,Muhammad Zamani Bin Md Zamri,2001-05-31,21,SGP,Midfielder,19,Young Lions,7,4,414:21:00,1,7,0,0,3,10,14,0,0,0.43,0.14,3
192,8,Rezza Rezky Ramadhani Bin Yacobjan,2000-11-08,21,SGP,Midfielder,20,Young Lions,2,2,142:40:00,0,1,0,0,0,1,1,0,0,0.0,0.0,0
193,9,Muhammad Fikri Bin Junaidi,2000-04-02,22,SGP,Forward,20,Young Lions,3,1,117:55:00,0,2,0,0,1,2,2,0,0,0.5,0.0,2
194,10,Muhammad Shahrulnizam Bin Mazlan,2000-09-05,21,SGP,Forward,20,Young Lions,10,8,609:48:00,1,7,0,0,3,6,3,0,0,0.43,0.14,2
195,11,Abdul Rasaq Ishiekwene Akeem,2001-06-16,20,SGP,Forward,19,Young Lions,2,2,152:19:00,0,1,0,0,0,6,3,0,0,0.0,0.0,0
196,12,Muhammad Amirul Haikal Bin Mohamed Hassim,1999-10-11,22,SGP,Midfielder,21,Young Lions,11,10,918:45:00,0,8,1,1,5,16,11,2,0,0.62,0.0,1
197,13,Muhammad Shahib Bin Masnawi,2000-08-04,21,SGP,Forward,20,Young Lions,6,5,416:11:00,0,2,0,0,0,8,5,3,0,0.0,0.0,1
198,14,Marc Ryan Wei Ming Tan,2002-01-18,20,SGP,Midfielder,18,Young Lions,7,2,205:56:00,0,2,1,1,1,2,3,0,0,0.5,0.0,5
199,15,Mohamad Asraf Bin Mohamad Zahid,1999-10-08,22,SGP,Defender,21,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
200,16,Ryhan Euan Griffin Stewart,2000-02-15,22,SGP,Midfielder,20,Young Lions,10,8,748:02:00,2,16,0,0,5,10,21,3,0,0.31,0.12,2
201,17,Ilhan Fandi Ahmad,2002-11-08,19,SGP,Midfielder,18,Young Lions,8,5,464:23:00,2,9,1,1,3,5,21,1,0,0.33,0.22,3
202,18,Ridhwan Fikri Bin Aban,1999-04-29,23,SGP,Goal Keeper,21,Young Lions,6,6,540:00:00,0,0,0,0,0,1,0,0,0,0.0,0.0,0
203,19,Khairin Nadim Bin Rahim,2004-05-08,18,SGP,Forward,16,Young Lions,12,8,742:13:00,3,10,1,1,5,7,5,1,0,0.5,0.3,4
204,20,Nor Hakim Bin Redzuan,2000-10-21,21,SGP,Midfielder,20,Young Lions,3,0,14:38,0,1,0,0,1,1,1,0,0,1.0,0.0,3
205,21,Mohamed Sahffee Bin Jubpre,2001-03-31,21,SGP,Defender,19,Young Lions,10,8,702:40:00,0,2,0,0,0,11,4,3,0,0.0,0.0,2
206,22,Muhammad Nur Adam Bin Abdullah,2001-04-13,21,SGP,Midfielder,19,Young Lions,13,13,1113:26:00,0,16,4,4,7,32,38,5,0,0.44,0.0,0
207,23,Harhys Rizal Gareth Stewart Bin Muhammad Ian Stewart,2001-03-20,21,SGP,Midfielder,19,Young Lions,11,10,849:50:00,0,3,0,0,0,13,9,3,0,0.0,0.0,1
208,24,Danial Scott Crichton,2003-04-11,19,SGP,Defender,17,Young Lions,5,4,307:46:00,0,0,0,0,0,3,1,1,0,0.0,0.0,1
209,25,Akmal Bin Azman,2000-11-21,21,SGP,Midfielder,20,Young Lions,4,2,231:26:00,0,0,0,0,0,0,0,0,0,0.0,0.0,2
210,27,Bah Bill Abuzar Mamadou,2001-09-08,20,SGP,Midfielder,19,Young Lions,6,2,295:25:00,0,4,0,0,2,5,2,1,0,0.5,0.0,4
211,28,Syed Muhamad Akmal Bin Syed Abdul Aziz,2000-04-28,22,SGP,Defender,20,Young Lions,13,11,1031:46:00,0,3,0,0,0,8,0,3,0,0.0,0.0,2
212,30,Veer Karan Sobti,2004-05-06,18,SGP,Goal Keeper,16,Young Lions,1,0,20:40,0,0,0,0,0,0,0,0,0,0.0,0.0,1
213,31,Idraki Bin Mohd Adnan,1999-03-13,23,SGP,Midfielder,21,Young Lions,7,3,281:24:00,0,3,0,0,1,3,5,0,0,0.33,0.0,4
214,32,Putra Anugerah Bin Sahrin,2000-04-02,22,SGP,Goal Keeper,20,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
215,41,Muhammad Hami Syahin Bin Said,1998-12-16,23,SGP,Midfielder,22,Young Lions,5,4,318:22:00,0,2,0,0,1,9,8,2,1,0.5,0.0,1
216,45,Akram Bin Azman,2000-11-21,21,SGP,Defender,20,Young Lions,2,2,180:00:00,0,0,0,0,0,3,0,0,0,0.0,0.0,0
