,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2022,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
154,9,BORIS KOPITOVIC,27/4/1995,27,MNE,Forward,27,Tampines Rovers FC,10,10,900:00:00,12,52,4,4,22,24,12,1,0,0.42,0.23,0,1,0
155,10,Zehrudin Mehmedovic,15/3/1998,24,SRB,Midfielder,24,Tampines Rovers FC,10,10,865:37:00,3,19,3,3,12,9,14,3,0,0.63,0.16,0,1,0
156,11,Muhammad Shameer Aziq Bin Abdul Razak,30/12/1995,26,SGP,Defender,27,Tampines Rovers FC,1,0,2:47,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,12,Muhammad Amirul Haikal Bin Mohamed Hassim,11/10/1999,22,SGP,Defender,23,Tampines Rovers FC,8,5,395:56:00,0,2,2,2,1,3,7,1,0,0.5,0,3,1,0
158,13,Mohamad Taufik Bin Suparno,31/10/1995,26,SGP,Forward,27,Tampines Rovers FC,10,10,754:51:00,3,23,1,1,12,31,23,2,0,0.52,0.13,0,1,0
159,14,Wei Ming Marc Ryan Tan,18/1/2002,20,SGP,Midfielder,20,Tampines Rovers FC,7,0,107:18:00,1,6,0,0,2,4,3,1,0,0.33,0.17,7,1,0
160,15,Syed Firdaus Bin Syed Hassan,30/5/1998,24,SGP,Midfielder,24,Tampines Rovers FC,5,1,86:56:00,0,0,0,0,0,1,1,1,0,0,0,4,0,0
161,17,Muhammad Irwan Shah Bin Arismail,2/11/1988,33,SGP,Defender,34,Tampines Rovers FC,10,7,613:34:00,0,0,0,0,0,16,6,2,0,0,0,3,1,0
162,21,Mohammad Firdaus Bin Kasman,24/1/1988,34,SGP,Midfielder,34,Tampines Rovers FC,9,3,393:05:00,2,6,0,0,3,10,5,2,0,0.5,0.33,6,0,1
163,22,Christopher James Van Huizen,28/11/1992,29,SGP,Midfielder,30,Tampines Rovers FC,9,8,698:49:00,2,8,0,0,4,7,5,1,0,0.5,0.25,1,0,1
164,23,Mohammad Irfan Bin Mohammad Najeeb,31/7/1999,22,SGP,Defender,23,Tampines Rovers FC,4,2,176:26:00,0,2,0,0,0,1,1,1,0,0,0,2,1,0
165,24,Muhammad Syazwan Bin Buhari,22/9/1992,29,SGP,Goal Keeper,30,Tampines Rovers FC,10,10,900:00:00,0,0,0,0,0,0,3,0,0,0,0,0,1,0
166,31,Danial Iliya Bin Khairuddin,6/2/2003,19,SGP,Goal Keeper,19,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,32,Yu En Ong,3/10/2003,18,SGP,Midfielder,19,Tampines Rovers FC,7,5,351:15:00,0,3,0,0,1,2,12,0,0,0.33,0,2,0,1
168,40,Yang Guang Sunny Tia,25/2/2004,18,SGP,Goal Keeper,18,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,51,Taras Goh,26/5/2005,17,SGP,Midfielder,17,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,54,Jovan Ang,23/8/2006,15,SGP,Defender,16,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,55,Ethan Henry Pinto,14/10/2004,17,SGP,Midfielder,18,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,56,Muhamad Ali Manaf,6/1/2005,17,SGP,Forward,17,Tampines Rovers FC,2,0,11:22,0,0,0,0,0,1,2,0,0,0,0,2,0,0
173,57,Adam Reefdy Bin Muhammad Hasyim,8/5/2004,18,SGP,Defender,18,Tampines Rovers FC,10,3,319:13:00,0,0,0,0,0,5,2,1,0,0,0,7,1,0
174,58,Caelan Cheong Tze Jay,22/1/2006,16,SGP,Midfielder,16,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,60,Matthias Josaphat Koesno,13/7/2006,15,SGP,Midfielder,16,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,70,Andrew Yong Rei Aw,29/3/2003,19,SGP,Defender,19,Tampines Rovers FC,7,0,136:05:00,0,1,0,0,0,3,2,0,0,0,0,7,1,0
177,77,Amir Mirza Bin Rudy Iskandar,10/4/2003,19,SGP,Midfielder,19,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,1,Veer Karan Sobti,6/5/2004,18,SGP,Goal Keeper,18,Tanjong Pagar United FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2,Mohammed Faritz Bin Abdul Hameed,16/1/1990,32,SGP,Defender,32,Tanjong Pagar United FC,10,10,900:00:00,1,17,0,0,6,7,9,4,0,0.35,0.06,0,1,0
180,3,Muhammad Shahrin Bin Saberin,14/2/1995,27,SGP,Defender,27,Tanjong Pagar United FC,3,2,160:44:00,0,1,1,1,0,0,2,0,0,0,0,1,1,0
181,4,Mohamed Faizal Bin Mohamed Raffi,20/1/1996,26,SGP,Midfielder,26,Tanjong Pagar United FC,7,2,280:23:00,1,3,0,0,1,5,1,0,1,0.33,0.33,5,0,1
182,5,Yu Min Emmeric Ong,25/1/1991,31,SGP,Defender,31,Tanjong Pagar United FC,9,7,630:58:00,0,0,0,0,0,6,5,1,0,0,0,2,1,0
183,6,Muhammad Fathullah Bin Rahmat,5/9/2002,19,SGP,Midfielder,20,Tanjong Pagar United FC,9,7,441:08:00,0,3,0,0,1,10,3,3,0,0.33,0,2,1,0
184,7,Muhamad Rusyaidi Bin Salime,25/4/1998,24,SGP,Midfielder,24,Tanjong Pagar United FC,7,4,443:05:00,1,3,1,1,2,5,3,3,0,0.67,0.33,3,1,0
185,8,Daniel Mark Bennett,7/1/1978,44,SGP,Defender,44,Tanjong Pagar United FC,5,4,376:52:00,0,2,0,0,0,4,2,0,0,0,0,1,0,1
186,9,Reo Nishiguchi,21/8/1997,24,JPN,Midfielder,25,Tanjong Pagar United FC,11,11,990:00:00,11,33,4,4,22,9,5,1,0,0.67,0.33,0,1,0
187,10,Muhammad Syukri Bin Mohd Bashir,11/4/1998,24,SGP,Forward,24,Tanjong Pagar United FC,5,3,168:15:00,0,4,0,0,3,4,4,0,0,0.75,0,2,0,0
188,11,Muhammad Shakir Bin Hamzah,20/10/1992,29,SGP,Defender,30,Tanjong Pagar United FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,12,Muhammad Khairul Nizam Bin Mohammad Kamal,25/6/1991,30,SGP,Forward,31,Tanjong Pagar United FC,4,1,141:07:00,1,5,0,0,1,1,2,0,0,0.2,0.2,3,0,1
190,13,Muhammad Aqhari Bin Abdullah,9/7/1991,30,SGP,Midfielder,31,Tanjong Pagar United FC,10,10,865:25:00,0,5,2,2,3,9,22,4,0,0.6,0,0,0,1
191,14,Mohamad Naufal Ilham Bin Mohamad Ismail,17/8/2002,19,SGP,Midfielder,20,Tanjong Pagar United FC,3,2,141:20:00,0,1,0,0,0,2,2,1,0,0,0,1,1,0
192,15,Shodai Nishikawa,21/9/1993,28,JPN,Midfielder,29,Tanjong Pagar United FC,10,10,900:00:00,2,7,1,1,4,12,11,0,0,0.57,0.29,0,1,0
193,16,Muhammad Raihan Abdul Rahman,7/2/1991,31,SGP,Midfielder,31,Tanjong Pagar United FC,10,9,842:43:00,0,4,2,2,1,8,7,5,0,0.25,0,1,1,0
194,17,MUHAMMAD RYAN SYAFFIQ BIN RAMLI,4/3/1995,27,SGP,Midfielder,27,Tanjong Pagar United FC,1,0,1:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,18,Mohammad Fashah Iskandar Bin S Rosedin,6/5/1995,27,SGP,Goal Keeper,27,Tanjong Pagar United FC,1,1,90:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,19,Mohammad Khairul Amri Bin Mohammad Kamal,14/3/1985,37,SGP,Forward,37,Tanjong Pagar United FC,8,3,398:31:00,2,14,1,1,6,7,5,2,0,0.43,0.14,5,1,0
197,20,Blake Ashley Ricciuto,2/9/1992,29,AUS,Midfielder,30,Tanjong Pagar United FC,11,11,990:00:00,1,14,2,2,8,26,29,2,0,0.57,0.07,0,1,0
198,21,Mirko Sugic,25/4/1994,28,CRO,Midfielder,28,Tanjong Pagar United FC,11,11,990:00:00,3,11,4,4,4,6,12,3,0,0.36,0.27,0,0,0
199,22,Hadiputradila Bin Saswadimata,5/2/2000,22,SGP,Forward,22,Tanjong Pagar United FC,1,0,24:51:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0
200,28,Muhammad Zharfan Bin Rohaizad,21/2/1997,25,SGP,Goal Keeper,25,Tanjong Pagar United FC,10,10,900:00:00,0,0,0,0,0,0,4,0,0,0,0,0,1,0
201,40,Akram Bin Azman,21/11/2000,21,SGP,Defender,22,Tanjong Pagar United FC,4,3,213:30:00,0,0,1,1,0,5,3,1,0,0,0,1,0,0
202,1,UMAYR BIN SUJUANDY,18/2/2003,19,SGP,Goal Keeper,19,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2,Raoul Bin Suhaimi,18/9/2005,16,SGP,Defender,17,Young Lions,3,1,82:47:00,0,1,0,0,1,3,2,1,0,1,0,2,1,0
204,3,Jordan Efa Okwudili Emaviwe,9/4/2001,21,SGP,Defender,21,Young Lions,3,3,232:31:00,1,5,0,0,3,1,5,0,0,0.6,0.2,0,1,0
205,5,Muhammad Syabil Bin Hisham,20/9/2002,19,SGP,Defender,20,Young Lions,5,5,439:53:00,0,1,0,0,1,9,8,0,0,1,0,0,1,0
206,6,Jacob William Mahler,10/4/2000,22,SGP,Defender,22,Young Lions,7,7,579:45:00,0,5,0,0,2,4,9,1,0,0.4,0,0,1,0
207,8,Nur Muhammad Shah Bin Shahiran,14/11/1999,22,SGP,Midfielder,23,Young Lions,7,7,619:07:00,0,6,0,0,1,12,11,2,0,0.17,0,0,1,0
208,9,Vasileios Ming Xun Chua Zikos,15/4/2002,20,SGP,Forward,20,Young Lions,6,4,330:13:00,3,9,1,1,4,6,2,0,0,0.44,0.33,2,0,1
209,10,"Jia Jin, Glenn Kweh",26/3/2000,22,SGP,Forward,22,Young Lions,7,3,369:05:00,0,10,2,2,1,5,5,0,0,0.1,0,4,1,0
210,11,Abdul Rasaq Ishiekwene Akeem,16/6/2001,20,SGP,Midfielder,21,Young Lions,1,0,19:00,0,1,0,0,1,0,0,0,0,1,0,1,1,0
211,12,Joel Joon Herng Chew,9/2/2000,22,SGP,Midfielder,22,Young Lions,7,7,552:03:00,0,10,2,2,3,3,4,1,0,0.3,0,0,1,0
212,13,Muhammad Syahrul Bin Sazali,3/6/1998,23,SGP,Defender,24,Young Lions,6,5,466:27:00,0,0,1,1,0,3,3,1,0,0,0,1,1,0
213,14,Rezza Rezky Ramadhani Bin Yacobjan,8/11/2000,21,SGP,Midfielder,22,Young Lions,3,0,29:49:00,0,0,0,0,0,0,2,0,0,0,0,3,1,0
214,15,Amir Syafiz Bin Abdul Rashid,21/6/2004,17,SGP,Midfielder,18,Young Lions,4,3,228:16:00,0,5,0,0,2,5,6,1,0,0.4,0,1,1,0
215,16,Ryhan Euan Griffin Stewart,15/2/2000,22,SGP,Defender,22,Young Lions,5,5,374:14:00,3,8,0,0,3,2,14,1,0,0.38,0.38,0,1,0
216,18,Ridhwan Fikri Bin Aban,29/4/1999,23,SGP,Goal Keeper,23,Young Lions,7,7,630:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,19,Khairin Nadim Bin Rahim,8/5/2004,18,SGP,Forward,18,Young Lions,7,6,547:21:00,0,13,1,1,10,5,11,0,0,0.77,0,1,1,0
218,20,Nor Hakim Bin Redzuan,21/10/2000,21,SGP,Forward,22,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,21,Muhammad Zulqarnaen Bin Suzliman,29/3/1998,24,SGP,Defender,24,Young Lions,3,3,243:55:00,2,3,0,0,2,6,2,1,0,0.67,0.67,0,1,0
220,22,Danish Qayyum Putra Shahrin Azhar,2/2/2002,20,SGP,Defender,20,Young Lions,4,1,106:07:00,0,0,1,1,0,1,4,1,0,0,0,3,1,0
221,25,Dylan Pereira Singh S/o Rameshpal Singh,31/7/2000,21,SGP,Goal Keeper,22,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,26,Danial Scott Crichton,11/4/2003,19,SGP,Defender,19,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,27,Mohammed Arshad Bin Shamim,9/12/1999,22,SGP,Midfielder,23,Young Lions,5,1,126:53:00,0,1,0,0,1,5,2,1,0,1,0,4,1,0
224,28,Syed Muhamad Akmal Bin Syed Abdul Aziz,28/4/2000,22,SGP,Defender,22,Young Lions,4,1,155:19:00,0,1,0,0,0,3,1,0,0,0,0,3,1,0
225,29,Muhammad Harith Bin Kanadi,1/8/2000,21,SGP,Defender,22,Young Lions,4,3,292:04:00,0,4,0,0,3,3,5,2,0,0.75,0,1,0,1
226,30,Jared Sean Gallagher,18/1/2002,20,SGP,Midfielder,20,Young Lions,5,3,307:27:00,0,1,0,0,0,9,6,1,0,0,0,2,0,0
227,33,MUHAMMAD FAIRUZ MUHAMMAD FAZLI KOH,20/1/2005,17,SGP,Midfielder,17,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,34,Ryu Hardy Yussri,20/4/2005,17,SGP,Midfielder,17,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,35,MUHAMMAD 'RAUF BIN MOHAMED ERWAN,25/4/2005,17,SGP,Goal Keeper,17,Young Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
